cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,2,,,,,,,,3.4,207.379803799995,210.7794031999947,210.77948242999554,0.30188020000059623,211.22518499998841,211.22518499998841,m,216.53594019998854,216.53594019998854,38,4.608,0.626687399999355,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,10,,,,,,,,3,216.53594019998854,219.5378558999946,219.53775622998654,0.30151869999826886,219.9824469999876,219.9824469999876,n,222.65832399998908,222.65832399998908,10,2.08,0.5248699000076158,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,4,,,,,,,,3.7,222.65832399998908,226.35780199999863,226.35781582999624,0.3052078999899095,226.80913129998953,226.80913129998953,m,230.16831899998942,230.16831899998942,43,2.608,0.6758809000020847,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,6,,,,,,,,4.9,230.16831899998942,235.07408479999867,235.0741158299963,0.30510330000834074,235.5183995999978,235.5183995999978,n,238.15695569998934,238.15695569998934,14,2.002,0.5828843999915989,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,5,,,,,,,,3.3,238.15695569998934,241.45677169998817,241.45667292998695,0.2991302000009455,241.89502129999164,241.89502129999164,n,245.04573369999707,245.04573369999707,10,1.706,1.3678180999995675,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,1,,,,,,,,3.2,245.04573369999707,248.24926709999272,248.24916382998634,0.3052529999986291,248.69364230000065,248.69364230000065,m,251.75668599999335,251.75668599999335,32,1.47,1.5229954000096768,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,5,,,,,,,,3.3,251.75668599999335,255.05554279999342,255.05572793000027,0.30495600000722334,255.5002766999969,255.5002766999969,n,257.4121607999987,257.4121607999987,8,1.122,0.7400965000124415,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,8,,,,,,,,5,257.4121607999987,262.4176260999957,262.41767002998967,0.30526709998957813,262.86192019999726,262.86192019999726,n,267.17579419999674,267.17579419999674,9,3.601,0.658603599993512,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,10,,,,,,,,3.9,267.17579419999674,271.07869129999017,271.0787208299909,0.29901560000143945,271.5206673999928,271.5206673999928,n,273.58349279999675,273.58349279999675,8,1.087,0.8937458000000333,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,2,,,,,,,,4.3,273.58349279999675,277.8850158999994,277.88493482998746,0.3050630000070669,278.33298409999406,278.33298409999406,m,280.7906324999931,280.7906324999931,41,1.685,0.7199097000120673,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,3,,,,,,,,3.8,280.7906324999931,284.59410569998727,284.5940677299979,0.3049745000025723,285.0382392999891,285.0382392999891,m,289.4853677999927,289.4853677999927,42,2.94,1.4314942000055453,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,7,,,,,,,,3.3,289.4853677999927,292.78948929999024,292.7899574299983,0.3046629999880679,293.23358179999923,293.23358179999923,n,295.34845839999616,295.34845839999616,8,1.392,0.6680282000015723,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,6,18,6,,,,,,,,3.1,295.34845839999616,298.44989219999115,298.4501711299992,0.30454910000844393,298.8941138999944,298.8941138999944,n,302.62070149999636,302.62070149999636,9,3.004,0.642214999999851,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,7,19,4,,,,,,,,4.6,302.62070149999636,307.22212899998704,307.2220369299932,0.30487409999477677,307.6660028999904,307.6660028999904,m,311.45661649999965,311.45661649999965,39,2.455,1.2615575999952853,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,8,20,9,,,,,,,,4.5,311.45661649999965,315.9589049999922,315.9591967299959,0.3047028000000864,316.4069642999966,316.4069642999966,n,320.62967739999294,320.62967739999294,11,3.538,0.6143414999969536,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,9,21,0,,,,,,,,4.6,320.62967739999294,325.23124709998956,325.2319624299882,0.29960310000751633,325.67562129998987,325.67562129998987,m,330.15184949999093,330.15184949999093,45,2.47,1.9502515000058338,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,10,22,11,,,,,,,,4.6,330.15184949999093,334.7528474999999,334.75295672999636,0.3054317999922205,335.2011010999995,335.2011010999995,m,337.90367899999546,337.90367899999546,46,1.278,1.3233174000051804,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,11,23,1,,,,,,,,3.5,337.90367899999546,341.40678169998864,341.4070773299929,0.30484250000154134,341.853017299989,341.853017299989,m,344.3116233999899,344.3116233999899,48,1.593,0.803901199993561,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,0,24,4,,,,,,,,4.7,344.3116233999899,349.0115122999996,349.0115928299958,0.30504939999082126,349.4557375999866,349.4557375999866,m,353.0217987999931,353.0217987999931,46,2.254,1.2370975999947404,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,1,25,9,,,,,,,,3,353.0217987999931,356.01981889999297,356.0215760299936,0.29996780000510626,356.4648398999998,356.4648398999998,n,358.98100619998877,358.98100619998877,11,1.241,1.2001361000002362,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,2,26,0,,,,,,,,3.2,358.98100619998877,362.1868231999979,362.18677922999194,0.3053102999983821,362.6309182999976,362.6309182999976,m,364.98965379998845,364.98965379998845,42,1.587,0.692791399997077,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,3,27,10,,,,,,,,4.8,364.98965379998845,369.79198879998876,369.79201092999136,0.3048717000056058,370.2381960999919,370.2381960999919,n,373.7774042999954,373.7774042999954,8,2.9,0.5766145999950822,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,4,28,7,,,,,,,,4.6,373.7774042999954,378.3765687999985,378.3791909299936,0.30260870000347495,378.8228672999976,378.8228672999976,n,380.20128899998963,380.20128899998963,10,0.65,0.6625239999993937,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,5,29,3,,,,,,,,4.1,380.20128899998963,384.3005884999875,384.3006617299863,0.30515440000453964,384.74480049998965,384.74480049998965,m,388.60775929999363,388.60775929999363,43,3.086,0.696052300001611,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,6,30,6,,,,,,,,4.5,388.60775929999363,393.1078567999939,393.10976563,0.3032152999949176,393.5553044999979,393.5553044999979,n,396.5328230999876,396.5328230999876,14,2.277,0.6490895000024466,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,7,31,8,,,,,,,,4.5,396.5328230999876,401.0317854999885,401.0320598299906,0.30498980000265874,401.4760879999958,401.4760879999958,n,403.5803113000002,403.5803113000002,12,1.392,0.6287286000006134,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,8,32,1,,,,,,,,4.5,403.5803113000002,408.0812884999905,408.0813823300006,0.30537099999492057,408.52768479999213,408.52768479999213,m,411.88804209999216,411.88804209999216,45,2.608,0.6988258000055794,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,9,33,11,,,,,,,,3.9,411.88804209999216,415.79060349999054,415.7906232299894,0.3049874999996973,416.23482389999845,416.23482389999845,m,419.24146479999763,419.24146479999763,46,1.774,1.1679751000046963,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,10,34,2,,,,,,,,3.6,419.24146479999763,422.8469932000007,422.847086329991,0.30506420000165235,423.291355999987,423.291355999987,m,424.83421609998913,424.83421609998913,50,0.823,0.637176799995359,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,11,35,5,,,,,,,,4.1,424.83421609998913,428.9381169999979,428.93807402999954,0.30516209999041166,429.38221519999206,429.38221519999206,n,431.73735069998656,431.73735069998656,10,1.664,0.609658400004264,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,0,36,4,,,,,,,,4.1,431.73735069998656,435.84165129999747,435.8416553299932,0.304981699999189,436.28583849999995,436.28583849999995,m,438.288721799996,438.288721799996,45,1.257,0.6872580999915954,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,1,37,3,,,,,,,,4.9,438.288721799996,443.18981829998665,443.1899285299907,0.30183520000719,443.6351607999968,443.6351607999968,m,447.01338679999753,447.01338679999753,45,2.657,0.6609922000061488,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,2,38,2,,,,,,,,4.4,447.01338679999753,451.41299009999784,451.412955829993,0.30501969999750145,451.85722149998765,451.85722149998765,m,454.8135389999952,454.8135389999952,46,2.208,0.6662470000010217,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,3,39,5,,,,,,,,4.2,454.8135389999952,459.01846969999315,459.01833112999446,0.30511260000639595,459.46219179999025,459.46219179999025,n,461.8103252000001,461.8103252000001,12,1.664,0.6313821999938227,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,4,40,10,,,,,,,,4.2,461.8103252000001,466.0122823999991,466.0122671299934,0.2996440999995684,466.4549565999914,466.4549565999914,n,468.5399039999902,468.5399039999902,13,1.267,0.7322146000078646,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,5,41,0,,,,,,,,4.9,468.5399039999902,473.443357799988,473.4435320299992,0.3048084000038216,473.88763669999025,473.88763669999025,m,475.5051742999931,475.5051742999931,40,0.789,0.7626485999935539,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,6,42,7,,,,,,,,3.6,475.5051742999931,479.1107859999902,479.11076972999143,0.3050777000025846,479.55492889999005,479.55492889999005,n,480.8267780999886,480.8267780999886,10,0.725,0.49339219999092165,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,7,43,8,,,,,,,,4,480.8267780999886,484.8269447999919,484.82686772999585,0.3050282999902265,485.27104939999117,485.27104939999117,None,491.4693108999927,491.4693108999927,11,3.679,,487.73834630000056,487.73834630000056,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,8,44,1,,,,,,,,3.4,491.4693108999927,494.869690099993,494.8698830299865,0.30465320000075735,495.3139641999878,495.3139641999878,m,497.2688205999875,497.2688205999875,47,1.179,0.7172121000039624,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,9,45,11,,,,,,,,3.5,497.2688205999875,500.7732127999916,500.7732330299943,0.3049870999966515,501.21749629999977,501.21749629999977,m,503.6303465999954,503.6303465999954,46,1.637,0.7008701000013389,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,10,46,6,,,,,,,,3.9,503.6303465999954,507.53082059998997,507.5308516299876,0.305607800008147,507.97944889999053,507.97944889999053,n,509.92437809999683,509.92437809999683,11,1.211,0.677940800000215,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,11,47,9,,,,,,,,3.8,509.92437809999683,513.7261932999972,513.7262643299939,0.3050038999936078,514.1704690999904,514.1704690999904,n,517.1654224999947,517.1654224999947,12,2.218,0.6978148000052897,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,0,0,3,,,,,,,,3.9,517.1654224999947,521.0679564999882,521.0679261299986,0.3046812999964459,521.5114770999935,521.5114770999935,m,525.121436299989,525.121436299989,43,2.886,0.653910499997437,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,1,1,2,,,,,,,,4.3,525.121436299989,529.4226060999936,529.4225504300005,0.3050211999943713,529.8666282999911,529.8666282999911,n,532.6651171999983,532.6651171999983,12,2.148,0.5703491000022041,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,2,2,1,,,,,,,,4,532.6651171999983,536.6669887999888,536.6668265299988,0.30503189998853486,537.110771599997,537.110771599997,m,541.612968699992,541.612968699992,44,3.802,0.6263327000051504,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,3,3,0,,,,,,,,4.2,541.612968699992,545.813339100001,545.8133827299928,0.3050762999919243,546.2576635999867,546.2576635999867,n,550.418076899994,550.418076899994,13,3.554,0.5399663999996847,,,,,sub-063,55,110,700,bloc_loop.csv,2023-10-26_10h45.43.220,PainUncertainty,2022.2.5,142.99584883198509,
