cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,1,,,,,,,,3.7,390.2850655,393.9906856,393.9907667,0.305465,394.4359441,394.4359441,m,1.4461719,398.3292124,398.3292124,61,2.366,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,10,,,,,,,,4.9,398.3292124,403.2285741,403.2286648,0.3048797,403.6774185,403.6774185,n,1.0653531,407.3786078,407.3786078,25,2.569,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,4.9,407.3786078,412.2778887,412.2779592,0.304857,412.7221343,412.7221343,n,2.4114413,417.580941,417.580941,20,2.374,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,2,,,,,,,,4,417.580941,421.5843134,421.5841527,0.3007072,422.0297634,422.0297634,None,,427.0151268,427.0151268,49,2.482,424.497588,424.497588,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,0,,,,,,,,3.5,427.0151268,430.5162257,430.5166342,0.3048951,430.9624694,430.9624694,m,0.8048869,434.9784839,434.9784839,60,3.144,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,4,,,,,,,,4.5,434.9784839,439.4823262,439.482284,0.3052628,439.9268767,439.9268767,m,1.3051301,443.0521861,443.0521861,57,1.754,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,10,,,,,,,,3.9,443.0521861,446.9563974,446.9560121,0.3049502,447.4036785,447.4036785,n,0.9114863,450.7105987,450.7105987,9,2.331,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,3,,,,,,,,4.1,450.7105987,454.8105092,454.8105295,0.3054306,455.2592396,455.2592396,m,0.5151471,457.8586901,457.8586901,69,2.018,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,5,,,,,,,,3.6,457.8586901,461.464146,461.4641983,0.3048377,461.9082682,461.9082682,n,1.8299836,466.6056533,466.6056533,15,2.812,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,8,,,,,,,,4,466.6056533,470.6113336,470.6126757,0.3010699,471.0556949,471.0556949,n,2.0219596,474.5359427,474.5359427,10,1.401,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,9,,,,,,,,3.3,474.5359427,477.8410397,477.8410882,0.3051266,478.2854069,478.2854069,n,1.0800315,481.7642442,481.7642442,7,2.318,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,4,,,,,,,,4.9,481.7642442,486.6689102,486.6689343,0.3050255,487.1129766,487.1129766,m,0.8229209,490.8951462,490.8951462,64,2.893,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,6,18,2,,,,,,,,4.1,490.8951462,494.9962313,494.9962978,0.3051045,495.4429486,495.4429486,m,0.716783,497.9447574,497.9447574,66,1.726,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,7,19,0,,,,,,,,4.6,497.9447574,502.5455076,502.5456222,0.2993444,502.9866658,502.9866658,m,0.7628465,506.7902918,506.7902918,78,2.956,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,8,20,6,,,,,,,,5,506.7902918,511.7901442,511.7902016,0.3052503,512.2366448,512.2366448,n,0.8303259,514.7186834,514.7186834,19,1.6,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,9,21,7,,,,,,,,3.7,514.7186834,518.422938,518.4228526,0.301498,518.8673454,518.8673454,n,1.0515459,521.914,521.914,23,1.928,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,10,22,1,,,,,,,,4.6,521.914,526.5136944,526.5139027,0.3052245,526.9606332,526.9606332,m,0.7355413,529.4621159,529.4621159,63,1.701,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,11,23,11,,,,,,,,4.3,529.4621159,533.7646021,533.7647091,0.3009494,534.209042,534.209042,n,0.8806179,537.0413822,537.0413822,9,1.829,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,0,24,8,,,,,,,,3.5,537.0413822,540.5435283,540.5434417,0.3051641,540.9873653,540.9873653,n,1.1123194,545.3402152,545.3402152,2,3.187,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,1,25,9,,,,,,,,3.2,545.3402152,548.544234,548.5443366,0.3057598,548.9940692,548.9940692,n,1.8570232,552.8882448,552.8882448,7,1.963,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,2,26,11,,,,,,,,4.5,552.8882448,557.3925175,557.3924709,0.305409,557.8372136,557.8372136,m,1.1390367,560.8975345,560.8975345,60,1.872,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,3,27,4,,,,,,,,5,560.8975345,565.9003254,565.9005067,0.3051874,566.3447649,566.3447649,m,1.0169888,568.6872563,568.6872563,68,1.246,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,4,28,6,,,,,,,,4.7,568.6872563,573.3880815,573.3878341,0.3052404,573.8352768,573.8352768,n,1.0738617,575.9116698,575.9116698,10,0.954,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,5,29,5,,,,,,,,4.6,575.9116698,580.51333,580.5133268,0.3048693,580.9575095,580.9575095,n,0.8631382,584.0508006,584.0508006,9,2.159,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,6,30,1,,,,,,,,3.6,584.0508006,587.6535549,587.653587,0.305334,588.1032807,588.1032807,m,1.3181771,592.1125493,592.1125493,65,2.637,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,7,31,2,,,,,,,,3.4,592.1125493,595.5151673,595.5152749,0.3049233,595.959473,595.959473,m,0.7085434,597.9781187,597.9781187,58,1.253,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,8,32,3,,,,,,,,3.2,597.9781187,601.1761519,601.1771444,0.304232,601.6236482,601.6236482,m,0.363442,603.6062901,603.6062901,73,1.567,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,9,33,0,,,,,,,,4.9,603.6062901,608.5101971,608.5102195,0.30488,608.9540748,608.9540748,m,0.7276262,611.3943414,611.3943414,73,1.644,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,10,34,10,,,,,,,,5,611.3943414,616.399628,616.399672,0.3050469,616.8438414,616.8438414,n,0.6957314,619.2287881,619.2287881,4,1.624,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,11,35,7,,,,,,,,3.8,619.2287881,623.0328679,623.0327542,0.3048864,623.4767327,623.4767327,n,1.5025477,626.2024702,626.2024702,7,1.165,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,0,36,7,,,,,,,,4,626.2024702,630.206909,630.2072108,0.3054661,630.6560671,630.6560671,n,0.7438888,632.7882902,632.7882902,8,1.333,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,1,37,9,,,,,,,,3.3,632.7882902,636.0896132,636.0896156,0.3048243,636.5342261,636.5342261,n,1.0109665,639.0591802,639.0591802,11,1.448,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,2,38,6,,,,,,,,4.2,639.0591802,643.2640662,643.2642584,0.3048453,643.7084899,643.7084899,n,0.871733,645.9013124,645.9013124,7,1.24,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,3,39,0,,,,,,,,3.6,645.9013124,649.501198,649.5010866,0.3049358,649.952215,649.952215,m,0.8352569,652.3444323,652.3444323,66,1.498,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,4,40,2,,,,,,,,3,652.3444323,655.3489306,655.3488383,0.3048317,655.7930935,655.7930935,m,0.758749,657.6063655,657.6063655,60,0.992,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,5,41,4,,,,,,,,3.9,657.6063655,661.5093491,661.5094023,0.3050699,661.955562,661.955562,m,1.6158201,665.3775834,665.3775834,64,1.733,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,6,42,10,,,,,,,,3.1,665.3775834,668.482425,668.4824252,0.305023,668.9265778,668.9265778,m,1.4137799,672.732334,672.732334,46,2.322,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,7,43,11,,,,,,,,3.4,672.732334,676.1361287,676.1362604,0.3049022,676.5802209,676.5802209,m,1.0844085,679.9771462,679.9771462,68,2.248,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,8,44,5,,,,,,,,3.8,679.9771462,683.7829321,683.7828934,0.3049643,684.2294049,684.2294049,n,1.5554721,688.1951209,688.1951209,0,2.353,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,9,45,8,,,,,,,,4.1,688.1951209,692.2978069,692.2978353,0.3049873,692.7419671,692.7419671,n,1.9384068,697.5820695,697.5820695,1,2.823,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,10,46,3,,,,,,,,4.7,697.5820695,702.2854633,702.2853834,0.3048962,702.7293759,702.7293759,m,1.223244,706.726964,706.726964,63,2.721,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,11,47,1,,,,,,,,5,706.726964,711.7310709,711.7319211,0.3041036,712.1755145,712.1755145,m,0.8833664,715.3302866,715.3302866,62,2.208,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,0,0,3,,,,,,,,4.1,715.3302866,719.4331524,719.4330268,0.3057021,719.8813779,719.8813779,m,1.8952572,723.2305504,723.2305504,62,1.373,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,1,1,0,,,,,,,,3.2,723.2305504,726.4339661,726.4340186,0.3048053,726.8783309,726.8783309,n,1.3679192,730.0421977,730.0421977,0,1.714,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,2,2,1,,,,,,,,4.1,730.0421977,734.1436087,734.1436873,0.299486,734.5879515,734.5879515,m,1.3217909,737.7658538,737.7658538,50,1.783,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,3,3,2,,,,,,,,3.5,737.7658538,741.2695355,741.2696603,0.3046671,741.7132576,741.7132576,n,0.6495069,743.9372568,743.9372568,3,1.498,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,0,4,1,,,,,,,,3.8,743.9372568,747.742123,747.7420982,0.2991345,748.180358,748.180358,m,0.8242856,750.9252024,750.9252024,61,1.844,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,1,5,2,,,,,,,,4.8,750.9252024,755.7293079,755.7292924,0.3048459,756.1734077,756.1734077,n,0.940201,759.7014103,759.7014103,10,2.525,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,2,6,0,,,,,,,,4.3,759.7014103,764.0009831,764.0010815,0.3055346,764.4483835,764.4483835,n,0.921515,768.1605294,768.1605294,13,2.726,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,3,7,3,,,,,,,,3.8,768.1605294,771.9610483,771.9608654,0.3048358,772.4088387,772.4088387,m,1.3489156,777.2964372,777.2964372,69,1.509,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
,,,,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,777.2964372,828.3558825,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_3,prob80hthp_12trials.xlsx,2,24,80,20,0,,,,,0,2,2,2,0,0,0,9,,,,,,,,4.7,829.4203953,834.1205634,834.1205609,0.3049025,834.5652945,834.5652945,m,0.9186591,837.1264615,837.1264615,59,1.575,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_3,prob80hthp_12trials.xlsx,2,24,80,20,0,,,,,0,2,2,2,0,1,1,0,,,,,,,,3.5,837.1264615,840.6283183,840.6283489,0.304692,841.0726325,841.0726325,n,0.6288541,843.1397123,843.1397123,9,1.365,,,,,sub-021,55,115,700,bloc_loop.csv,2023-06-07_11h14.01.740,PainUncertainty,2022.2.5,143.4226378
