cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,4,,,,,,,,3,139.59668060000695,142.5968920000014,142.59686502000113,0.3047853999887593,143.04114450000634,143.04114450000634,m,0.43493190000299364,145.71514860000752,145.71514860000752,72,2.032,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,4.7,145.71514860000752,150.41691230000288,150.41687032000482,0.3003121000074316,150.86180710000917,150.86180710000917,n,0.3710741999966558,154.27928270000848,154.27928270000848,2,2.838,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,6,,,,,,,,4.2,154.27928270000848,158.4821423000103,158.48065672000666,0.3007134999934351,158.92524540000886,158.92524540000886,n,0.40368170000147074,161.1668631000066,161.1668631000066,5,1.637,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,1,,,,,,,,4.3,161.1668631000066,165.4674204000039,165.46754102000705,0.3032372000016039,165.91263010000694,165.91263010000694,m,0.40263409999897704,169.13924760000373,169.13924760000373,82,2.623,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,8,,,,,,,,4.7,169.13924760000373,173.8436708000081,173.84375262000685,0.3036403000005521,174.28788550000172,174.28788550000172,n,0.44184929999755695,176.6339439000003,176.6339439000003,2,1.685,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,3.4,176.6339439000003,180.03857859999698,180.03845932000695,0.2998645000043325,180.48313320000307,180.48313320000307,m,0.43625149999570567,183.24791060001007,183.24791060001007,80,2.118,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,5,,,,,,,,3.8,183.24791060001007,187.05339159999858,187.05328372000804,0.3005847000022186,187.50022040000476,187.50022040000476,n,0.4009259000013117,189.44983019999927,189.44983019999927,5,1.326,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,3,,,,,,,,3.3,189.44983019999927,192.7557128000044,192.75739282000723,0.30039650000981055,193.19991320000554,193.19991320000554,n,0.2651780000014696,195.83879200000956,195.83879200000956,78,2.163,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,7,,,,,,,,3.8,195.83879200000956,199.6382239000086,199.63823432000208,0.30273789999773726,200.0828451999987,200.0828451999987,n,0.400941400002921,203.0785026000085,203.0785026000085,2,2.386,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,4,,,,,,,,3,203.0785026000085,206.08357319999777,206.08372532000794,0.30188929999712855,206.52806320000673,206.52806320000673,m,0.46920049999607727,209.66259819999686,209.66259819999686,92,2.443,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,2,,,,,,,,3.2,209.66259819999686,212.86459209999884,212.8626985200026,0.3046693000069354,213.30674280000676,213.30674280000676,m,0.4529030999983661,215.69951610000862,215.69951610000862,95,1.733,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,6,,,,,,,,3.4,215.69951610000862,219.09902310000325,219.09908412000368,0.2998790999990888,219.5441021000006,219.5441021000006,n,0.4050215999886859,221.70897190000687,221.70897190000687,5,1.533,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,6,18,8,,,,,,,,4.5,221.70897190000687,226.2109380000038,226.21100682000542,0.30063610000070184,226.65635839999595,226.65635839999595,n,0.3828794000146445,229.93730950000463,229.93730950000463,3,2.705,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,7,19,1,,,,,,,,3.5,229.93730950000463,233.44128980000096,233.44125271999656,0.3051490000070771,233.88592040000367,233.88592040000367,m,0.8311564999894472,236.13634700000694,236.13634700000694,85,1.213,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,8,20,0,,,,,,,,4.3,236.13634700000694,240.44192470000417,240.4419268200072,0.3018632000021171,240.88657129999774,240.88657129999774,m,0.33106799999950454,243.42338000000746,243.42338000000746,97,1.998,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,9,21,11,,,,,,,,3.1,243.42338000000746,246.52639009999984,246.5262972200071,0.30392660001234617,246.97790150000947,246.97790150000947,m,0.5076818999950774,252.10059270000784,252.10059270000784,92,4.385,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,10,22,10,,,,,,,,3,252.10059270000784,255.10408859999734,255.10365392000676,0.30071169999428093,255.54788490000647,255.54788490000647,n,0.4563584000134142,258.60320359999605,258.60320359999605,7,2.375,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,11,23,9,,,,,,,,4.2,258.60320359999605,262.80581079999683,262.8056346200101,0.30064619999029674,263.25027400000545,263.25027400000545,n,0.48277109999617096,265.2662566000072,265.2662566000072,3,1.324,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,0,24,3,,,,,,,,3.7,265.2662566000072,268.96628210000927,268.9660736200094,0.3002053999953205,269.41077329999825,269.41077329999825,m,0.3591660999954911,271.6906306000019,271.6906306000019,83,1.712,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,1,25,1,,,,,,,,3.9,271.6906306000019,275.5924093000067,275.59230712000135,0.3048708999995142,276.036294000005,276.036294000005,m,0.4510576000029687,278.0172426000063,278.0172426000063,93,1.324,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,2,26,11,,,,,,,,4.6,278.0172426000063,282.6208154000051,282.62104642000486,0.3007278999866685,283.0654779000033,283.0654779000033,m,0.4605950999975903,286.5323925999983,286.5323925999983,92,2.81,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,3,27,5,,,,,,,,4,286.5323925999983,290.5383984000073,290.5383046200077,0.3019064999971306,290.9826966999972,290.9826966999972,n,0.46187720001034904,293.8691487000033,293.8691487000033,2,2.206,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,4,28,7,,,,,,,,4.1,293.8691487000033,297.9698139999964,297.96971812000993,0.3054876000096556,298.41768630000297,298.41768630000297,n,0.49964530000579543,301.761078800002,301.761078800002,3,2.631,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,5,29,2,,,,,,,,4.1,301.761078800002,305.86665060000087,305.8665722200021,0.3050599999987753,306.31080000000657,306.31080000000657,m,0.9844479000021238,309.28798170000664,309.28798170000664,68,1.775,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,6,30,0,,,,,,,,3.9,309.28798170000664,313.19380999999703,313.19398761999764,0.30468240000482183,313.638059799996,313.638059799996,m,0.5538937000092119,315.9014048000099,315.9014048000099,97,1.491,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,7,31,6,,,,,,,,3.2,315.9014048000099,319.10433440000634,319.1042339199994,0.304728500006604,319.5488417000015,319.5488417000015,n,0.5580797000147868,321.8757435000007,321.8757435000007,3,1.56,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,8,32,4,,,,,,,,4.4,321.8757435000007,326.2788528000092,326.2787235200012,0.30512600000656676,326.7232909000013,326.7232909000013,m,0.8098726999887731,330.1045419000002,330.1045419000002,97,2.372,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,9,33,9,,,,,,,,4.3,330.1045419000002,334.40595450000546,334.405401420001,0.30405989999417216,334.849240800002,334.849240800002,n,0.4603095999918878,337.1199484000099,337.1199484000099,14,1.601,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,10,34,8,,,,,,,,4,337.1199484000099,341.12102970000706,341.1209559199997,0.30487140000332147,341.5653577000048,341.5653577000048,n,0.4963306999998167,343.7179502000072,343.7179502000072,14,1.448,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,11,35,10,,,,,,,,4.5,343.7179502000072,348.21946809999645,348.21974701999716,0.30164640001021326,348.66445530000783,348.66445530000783,m,2.2696080999885453,353.22607289999723,353.22607289999723,45,2.071,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,0,36,5,,,,,,,,3.3,353.22607289999723,356.52569320000475,356.5255780200023,0.3050937000080012,356.96979460000875,356.96979460000875,m,0.9849086000031093,359.85696790000657,359.85696790000657,43,1.705,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,1,37,11,,,,,,,,3.4,359.85696790000657,363.26262270000007,363.2626200200102,0.305420700009563,363.71104550000746,363.71104550000746,m,0.5517404999991413,367.0357479000086,367.0357479000086,97,2.602,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,2,38,4,,,,,,,,4.9,367.0357479000086,371.93729860000894,371.9372475199998,0.3051615000003949,372.3857769000024,372.3857769000024,n,0.5387388000090141,374.0980169999966,374.0980169999966,0,1.044,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,3,39,10,,,,,,,,4.7,374.0980169999966,378.7992518999963,378.7992641200035,0.30489529999613296,379.247815900002,379.247815900002,n,0.6265232000005199,381.04349090000323,381.04349090000323,0,1.046,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,4,40,0,,,,,,,,4.5,381.04349090000323,385.5431573000096,385.5433132200051,0.30505760000960436,385.99447200000577,385.99447200000577,n,0.4946098000073107,387.98861749999924,387.98861749999924,0,1.373,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,5,41,6,,,,,,,,3.5,387.98861749999924,391.48877840000205,391.4885922199974,0.2995956999948248,391.93273130001035,391.93273130001035,n,0.5125757999921916,393.3386476000014,393.3386476000014,0,0.768,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,6,42,7,,,,,,,,4.2,393.3386476000014,397.5446654999978,397.54448171999684,0.3000611999887042,397.98897659999784,397.98897659999784,n,0.4044321000110358,400.3949683999963,400.3949683999963,0,1.873,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,7,43,2,,,,,,,,4.2,400.3949683999963,404.5940421999985,404.59402742000384,0.3062664000026416,405.03935629999614,405.03935629999614,n,0.4658013000007486,407.0120392000099,407.0120392000099,0,1.38,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,8,44,1,,,,,,,,3.9,407.0120392000099,410.91606810000667,410.91463372,0.2999590999970678,411.35919640000793,411.35919640000793,n,0.3596916999958921,413.4292451000074,413.4292451000074,0,1.587,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,9,45,8,,,,,,,,4.9,413.4292451000074,418.3318411000073,418.3317398200088,0.3056217999983346,418.78028040000936,418.78028040000936,n,0.5328761999990093,421.2500648999994,421.2500648999994,0,1.811,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,10,46,3,,,,,,,,4.3,421.2500648999994,425.5552883000055,425.5564344200029,0.3037070999998832,425.99937230000796,425.99937230000796,n,0.4467658999928972,427.70375790000253,427.70375790000253,0,1.13,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,11,47,9,,,,,,,,3.2,427.70375790000253,430.9033742000029,430.9033506199994,0.30619600000500213,431.35467739999876,431.35467739999876,n,0.4377798000059556,433.7755338999996,433.7755338999996,0,1.858,sub-017,40,80,700,bloc_loop.csv,2023-05-31_10h45.06.921,PainUncertainty,2022.2.5,144.63512174018058
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,0,,,,,0,0,0,0,0,0,0,2,,,,,21.11309739999706,27.395661399990786,42.042512400003034,4.1,29.59274259999802,33.69582490000175,33.70147137999302,0.3097719999932451,34.14606319999439,34.14606319999439,m,1.0201803000090877,37.477505699993344,37.477505699993344,34,2.091,sub-017,40,80,700,bloc_loopcontinue.csv,2023-05-31_10h57.03.779,PainUncertainty,2022.2.5,142.87837049962965
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,3.6,37.477505699993344,41.077734699996654,41.07797888999194,0.3087603999883868,41.52966469999228,41.52966469999228,m,0.822286400012672,44.857657399988966,44.857657399988966,66,2.294,sub-017,40,80,700,bloc_loopcontinue.csv,2023-05-31_10h57.03.779,PainUncertainty,2022.2.5,142.87837049962965
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,0,,,,,0,0,0,0,0,2,2,3,,,,,,,,3.2,44.857657399988966,48.05753249999543,48.057593489992726,0.3032762999937404,48.503474500001175,48.503474500001175,m,0.5154970000148751,51.10572519998823,51.10572519998823,87,1.859,sub-017,40,80,700,bloc_loopcontinue.csv,2023-05-31_10h57.03.779,PainUncertainty,2022.2.5,142.87837049962965
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,0,,,,,0,0,0,0,0,3,3,0,,,,,,,,4.9,51.10572519998823,56.009799299994484,56.0097238900009,0.3000367000058759,56.44845179999538,56.44845179999538,n,0.47266130000934936,59.39334660000168,59.39334660000168,4,2.276,sub-017,40,80,700,bloc_loopcontinue.csv,2023-05-31_10h57.03.779,PainUncertainty,2022.2.5,142.87837049962965
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,0,,,,,0,0,0,0,1,0,4,1,,,,,,,,3.6,59.39334660000168,62.99673919999623,62.996698189988095,0.2990147000091383,63.434849099998246,63.434849099998246,m,1.0988354000000982,66.1345497000002,66.1345497000002,88,1.386,sub-017,40,80,700,bloc_loopcontinue.csv,2023-05-31_10h57.03.779,PainUncertainty,2022.2.5,142.87837049962965
