cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.stopped,Choice.stopped,choice_pain.keys,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.rt,key_resp_3.started,key_resp_6.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,6,6,0,,,,,,,,3.4,449.3755286999999,452.7769423,452.7769952099998,0.30496110000012777,453.2214377,453.2214377,,,m,457.512882,457.512882,70,3.184,1.0282661000001099,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,7,7,9,,,,,,,,4.5,457.512882,462.01399459999993,462.01420590999993,0.3047393000001648,462.45832159999964,462.45832159999964,,,n,466.24014799999986,466.24014799999986,27,2.845,0.8685167999997248,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,8,8,2,,,,,,,,4.8,466.24014799999986,471.0430182,471.0429873099998,0.30510480000020834,471.48698879999984,471.48698879999984,,,m,476.32691739999973,476.32691739999973,63,3.623,1.1529904000003626,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,9,9,7,,,,,,,,4.7,476.32691739999973,481.0309549999997,481.03047490999967,0.30693499999961205,481.48188809999965,481.48188809999965,,,n,484.0182458999998,484.0182458999998,31,1.663,0.7859932000001209,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,10,10,1,,,,,,,,3.3,484.0182458999998,487.3230461999997,487.32297750999993,0.30517120000013165,487.77223849999973,487.77223849999973,,,m,490.3958789999997,490.3958789999997,66,1.844,0.7098549000002095,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,0,11,11,6,,,,,,,,4.3,490.3958789999997,494.69840129999966,494.69854850999997,0.30501520000007076,495.14262389999976,495.14262389999976,,,n,497.93978909999987,497.93978909999987,23,2.065,0.6588073000002623,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,0,12,2,,,,,,,,4,497.93978909999987,501.9429575999998,501.94268610999967,0.30500449999999546,502.3864878999998,502.3864878999998,,,m,506.62008319999995,506.62008319999995,68,3.518,0.6541074000001572,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,1,13,0,,,,,,,,4.9,506.62008319999995,511.5198952999999,511.5199956099996,0.30494309999994584,511.96403949999967,511.96403949999967,,,m,515.0929569999998,515.0929569999998,67,1.353,1.7207992000003287,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,2,14,1,,,,,,,,3.2,515.0929569999998,518.2919650999997,518.2920354099997,0.3051724000001741,518.7394878,518.7394878,,,m,520.7862084999997,520.7862084999997,69,1.469,0.49687070000027234,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,3,15,6,,,,,,,,3.3,520.7862084999997,524.0913776999996,524.0915571099999,0.30465849999973216,524.5351725,524.5351725,,,n,526.7795186999997,526.7795186999997,30,1.567,0.5963185000000522,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,4,16,4,,,,,,,,5,526.7795186999997,531.7793325999996,531.7795318099998,0.30525770000031116,532.2273221,532.2273221,,,m,534.0523098999997,534.0523098999997,66,1.199,0.55883810000023,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,9,,,,,,,,4.8,534.0523098999997,538.8565018999998,538.8565303099999,0.3000867999999173,539.3014694999997,539.3014694999997,,,n,541.6923431999999,541.6923431999999,30,1.753,0.5765403000004881,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,6,18,5,,,,,,,,3.1,541.6923431999999,544.7947371999999,544.7949476099998,0.3049452999998721,545.2389432999998,545.2389432999998,,,n,548.7763596,548.7763596,26,1.705,1.767064399999981,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,7,19,10,,,,,,,,5,548.7763596,553.7820164999998,553.7819953099997,0.30513490000021193,554.2262332999999,554.2262332999999,,,n,558.1099798,558.1099798,28,2.476,1.3478437000003396,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,8,20,8,,,,,,,,4.7,558.1099798,562.8113992999997,562.8112145099999,0.29933249999976397,563.2497438,563.2497438,,,n,566.9983159999997,566.9983159999997,27,2.851,0.8264625000001615,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,9,21,11,,,,,,,,3.5,566.9983159999997,570.4993556,570.4994384099996,0.3048767999998745,570.9438186999996,570.9438186999996,,,m,575.1833155999998,575.1833155999998,71,3.169,0.9995485999997982,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,10,22,7,,,,,,,,3.5,575.1833155999998,578.6881752999998,578.6883231099996,0.30451210000001083,579.1321066999999,579.1321066999999,,,n,583.4643461999999,583.4643461999999,25,3.296,0.9632704000005106,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,11,23,3,,,,,,,,4.1,583.4643461999999,587.5638400999997,587.5638759099998,0.30482430000029126,588.0082352,588.0082352,,,m,591.8907895999996,591.8907895999996,71,2.883,0.9120420000003833,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,0,24,7,,,,,,,,4.3,591.8907895999996,596.1898801999996,596.18992751,0.304958500000339,596.6340360999998,596.6340360999998,,,n,599.9950644999999,599.9950644999999,23,2.613,0.6641243000003669,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,1,25,4,,,,,,,,4.3,599.9950644999999,604.2953608999997,604.2953169099997,0.30495580000024347,604.7391671999999,604.7391671999999,,,m,607.3636202999996,607.3636202999996,72,2.004,0.555277500000102,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,2,26,9,,,,,,,,3.1,607.3636202999996,610.4628364999999,610.4628444099999,0.3046297999999297,610.9068436999996,610.9068436999996,,,n,614.5558266999997,614.5558266999997,26,2.921,0.6503233000003092,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,3,27,11,,,,,,,,4.7,614.5558266999997,619.2554624999998,619.25518741,0.3057378000003155,619.7000796999996,619.7000796999996,,,m,622.7439175999998,622.7439175999998,74,2.289,0.6746109000000615,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,4,28,8,,,,,,,,3.6,622.7439175999998,626.3464325999998,626.3463781099999,0.3052471000000878,626.7942321999999,626.7942321999999,,,n,630.4486439999996,630.4486439999996,25,2.302,1.2732402999999977,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,5,29,0,,,,,,,,3.4,630.4486439999996,633.8541292999998,633.8541741099998,0.3047217999996974,634.2983678,634.2983678,,,m,637.4004471999997,637.4004471999997,71,2.278,0.7692712000002757,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,6,30,2,,,,,,,,4.2,637.4004471999997,641.6050181999999,641.6051685099997,0.3041443000001891,642.0492433999998,642.0492433999998,,,m,646.3212550999997,646.3212550999997,72,3.553,0.6499665000005734,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,7,31,6,,,,,,,,4.3,646.3212550999997,650.6204613,650.6204955099997,0.30489399999987654,651.0644336999999,651.0644336999999,,,n,653.0995877999999,653.0995877999999,24,1.414,0.5443497000001116,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,8,32,3,,,,,,,,4.7,653.0995877999999,657.8015031999998,657.80161731,0.3052330999998958,658.2496443999999,658.2496443999999,,,m,660.6941108999999,660.6941108999999,74,1.571,0.7953170999999202,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,9,33,10,,,,,,,,5,660.6941108999999,665.6982542999999,665.69841361,0.3048322999998163,666.1428615999998,666.1428615999998,,,n,668.4290578999999,668.4290578999999,26,1.712,0.5113128000002689,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,10,34,5,,,,,,,,3,668.4290578999999,671.4281674999997,671.4282348099996,0.30497349999996004,671.8725568,671.8725568,,,n,674.7765946,674.7765946,24,2.102,0.7287126000001081,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,11,35,1,,,,,,,,3.5,674.7765946,678.2761919999998,678.2763092099999,0.3051252000000204,678.7244983999999,678.7244983999999,,,m,681.410022,681.410022,72,2.081,0.5428014000003714,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,0,36,4,,,,,,,,4.7,681.410022,686.1104284999997,686.1105109099999,0.30535310000004756,686.554999,686.554999,,,m,690.3322254,690.3322254,74,2.823,0.8737281999997322,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,1,37,5,,,,,,,,4.2,690.3322254,694.5357650999999,694.5358957099997,0.30479600000035134,694.9835180999999,694.9835180999999,,,n,697.6190861999999,697.6190861999999,22,1.768,0.7975525000001653,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,2,38,2,,,,,,,,3.5,697.6190861999999,701.1193997999999,701.1193957099999,0.30545740000025035,701.5682313999996,701.5682313999996,,,m,705.3263036999997,705.3263036999997,70,2.727,0.9579639000003226,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,3,39,9,,,,,,,,4.5,705.3263036999997,709.8287467,709.8287418099999,0.30494039999985034,710.2730827,710.2730827,,,n,714.6619249,714.6619249,22,3.671,0.6378985999999713,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,4,40,1,,,,,,,,3.8,714.6619249,718.4616103999997,718.4616753099999,0.30504849999988437,718.9057518999998,718.9057518999998,,,m,721.9988653,721.9988653,71,2.365,0.6517530000000988,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,5,41,6,,,,,,,,4.3,721.9988653,726.3031258999999,726.3031573099997,0.3015252000000146,726.747546,726.747546,,,n,730.6617788999997,730.6617788999997,24,3.289,0.5720116000002236,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,6,42,10,,,,,,,,3.5,730.6617788999997,734.1648944999997,734.1648778099998,0.3048751999999695,734.6129065,734.6129065,,,n,736.2896728999999,736.2896728999999,24,1.033,0.5760457000001225,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,7,43,0,,,,,,,,4.3,736.2896728999999,740.5892451,740.5894460099998,0.3048159999998461,741.0335405999999,741.0335405999999,,,m,743.1794513999998,743.1794513999998,71,1.483,0.6066702000002806,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,8,44,3,,,,,,,,3,743.1794513999998,746.1806804999997,746.1809092099998,0.3046530999999959,746.6268664999998,746.6268664999998,,,m,749.1284422999997,749.1284422999997,71,1.408,1.029712600000039,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,9,45,11,,,,,,,,4.8,749.1284422999997,753.9310382999997,753.93103071,0.3045766000000185,754.3755080999999,754.3755080999999,,,m,759.4865719,759.4865719,72,3.809,1.2177513000001454,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,10,46,8,,,,,,,,3.8,759.4865719,763.2864353999998,763.2865226099998,0.3047257000002901,763.7305277,763.7305277,,,n,767.7345904999997,767.7345904999997,24,3.206,0.7354178000005049,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,11,47,7,,,,,,,,4.4,767.7345904999997,772.1349129999999,772.1347579099997,0.3050295000002734,772.5792130999998,772.5792130999998,,,n,775.8561164999996,775.8561164999996,23,2.618,0.5716178000002401,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,0,0,1,,,,,,,,4.4,775.8561164999996,780.2607163999996,780.26079351,0.30526770000005854,780.7049222,780.7049222,,,m,784.7429612999999,784.7429612999999,73,2.79,1.1785125000001244,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,1,1,0,,,,,,,,3.4,784.7429612999999,788.1436119,788.1436344099998,0.30223160000014104,788.5894148999996,788.5894148999996,,,n,793.3285053,793.3285053,23,3.433,1.22219159999986,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,2,2,3,,,,,,,,3.3,793.3285053,796.6310681,796.6309883099998,0.3050847999998041,797.0750613,797.0750613,,,m,801.1294884999998,801.1294884999998,74,3.393,0.5845918000004531,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,3,3,2,,,,,,,,3.7,801.1294884999998,804.8331958999997,804.8332667099999,0.30469540000012785,805.2773657999996,805.2773657999996,,,n,807.8259797999999,807.8259797999999,23,1.845,0.6523449000001165,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,0,4,2,,,,,,,,3,807.8259797999999,810.8274108,810.8274809099998,0.3048539000001256,811.2746638999997,811.2746638999997,,,n,815.0046794,815.0046794,25,3.108,0.542399800000112,,,sub-045,45,80,700,bloc_loop.csv,2023-09-12_08h51.34.072,PainUncertainty,2022.2.5,143.1467081979757,
