cue_,stimulus_,cue_fichier,stimulus_fichier,block_name,block_trials_file,block_n_reps,block_ntrials,block_prob_highP_highT,block_prob_highP_lowT,block_pause_after,Bloc_essai.thisRepN,Bloc_essai.thisTrialN,Bloc_essai.thisN,Bloc_essai.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,pause_loop.thisRepN,pause_loop.thisTrialN,pause_loop.thisN,pause_loop.thisIndex,key_resp_5.started,start_calib.started,key_resp_2.started,ISI_duration,pause.started,pause.stopped,cue.started,ISI.started,choice_pain.started,Choice.started,choice_pain.keys,choice_pain.rt,main_text.started,confirm_text.started,ratingScale.response,ratingScale.rt,choice_pain.stopped,Choice.stopped,key_resp_3.started,participant,low_ma,high_ma,failsafe_ma,block_file,date,expName,psychopyVersion,frameRate
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,5,17,6,,,,,,,,4.1,458.5788487,462.6801112,462.6800754,0.3011219,463.1246011,463.1246011,n,0.8711847,468.0226902,468.0226902,19,3.971,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,6,18,8,,,,,,,,5,468.0226902,473.0219018,473.0221641,0.3003418,473.4661466,473.4661466,n,0.9329071,477.0977994,477.0977994,13,2.622,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,7,19,11,,,,,,,,4.1,477.0977994,481.20312,481.203223,0.3048827,481.6477258,481.6477258,m,1.1083622,486.3994543,486.3994543,50,3.568,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,8,20,5,,,,,,,,4.5,486.3994543,490.8987245,490.8987852,0.3047699,491.3429147,491.3429147,n,0.9103926,496.7851865,496.7851865,18,4.462,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,9,21,3,,,,,,,,3.8,496.7851865,500.5874495,500.5874375,0.3050796,501.0316567,501.0316567,m,0.8315755,505.8279538,505.8279538,51,3.907,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,10,22,0,,,,,,,,3.1,505.8279538,508.9288408,508.9288915,0.3048219,509.3730517,509.3730517,m,0.8241705,513.9464897,513.9464897,52,3.671,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,1,11,23,10,,,,,,,,4,513.9464897,517.9508409,517.9507745,0.3048401,518.394875,518.394875,n,1.0203379,521.7919765,521.7919765,13,2.293,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,0,24,1,,,,,,,,3,521.7919765,524.7919049,524.7919898,0.3049224,525.2360355,525.2360355,n,1.4465118,530.6450352,530.6450352,27,3.877,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,1,25,9,,,,,,,,4.2,530.6450352,534.8489218,534.848849,0.3048032,535.2927343,535.2927343,n,1.1224725,538.3127375,538.3127375,19,1.843,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,2,26,10,,,,,,,,3.5,538.3127375,541.8148625,541.8147583,0.305034,542.2626531,542.2626531,n,0.8835746,547.0870086,547.0870086,27,3.865,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,3,27,11,,,,,,,,4.8,547.0870086,551.8926307,551.8925367,0.3048204,552.3364103,552.3364103,m,1.1153471,556.6419929,556.6419929,53,3.128,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,4,28,0,,,,,,,,4.1,556.6419929,560.7475302,560.7475673,0.3050885,561.1917391,561.1917391,m,1.1125155,565.8954117,565.8954117,57,3.511,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,5,29,7,,,,,,,,3.5,565.8954117,569.3945027,569.3945012,0.3050819,569.8423136,569.8423136,n,0.8704097,572.3502561,572.3502561,23,1.586,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,6,30,6,,,,,,,,4.1,572.3502561,576.451284,576.451262,0.3007125,576.8954281,576.8954281,n,0.9360382,580.7866789,580.7866789,15,2.903,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,7,31,8,,,,,,,,4.1,580.7866789,584.889684,584.8915657,0.3031609,585.3336016,585.3336016,n,0.8566133,589.1752104,589.1752104,19,2.914,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,8,32,4,,,,,,,,4,589.1752104,593.1751237,593.175098,0.305081,593.6192613,593.6192613,m,0.9094343,598.2530597,598.2530597,61,3.651,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,9,33,5,,,,,,,,3.4,598.2530597,601.6557709,601.6557057,0.3051638,602.1015685,602.1015685,n,0.8506488,606.3690753,606.3690753,26,3.337,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,10,34,3,,,,,,,,4.5,606.3690753,610.8717383,610.87179,0.3053925,611.318325,611.318325,m,1.8262453,616.6599001,616.6599001,57,3.448,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,2,11,35,2,,,,,,,,4.4,616.6599001,621.0604435,621.0604987,0.3052365,621.5084035,621.5084035,m,1.561432,625.4797455,625.4797455,50,2.351,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,0,36,0,,,,,,,,4,625.4797455,629.4852019,629.4856181,0.3044191,629.9294677,629.9294677,m,1.5952569,634.4119413,634.4119413,57,2.823,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,1,37,3,,,,,,,,4.9,634.4119413,639.3133007,639.3139676,0.3043703,639.7616076,639.7616076,m,0.9137892,643.681073,643.681073,56,2.935,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,2,38,10,,,,,,,,4.1,643.681073,647.7861944,647.786112,0.3050811,648.2302255,648.2302255,n,0.8717955,650.9517401,650.9517401,20,1.766,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,3,39,1,,,,,,,,3.4,650.9517401,654.3563475,654.3562562,0.3052024,654.8004133,654.8004133,m,1.1845412,659.1965129,659.1965129,58,3.128,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,4,40,6,,,,,,,,3,659.1965129,662.1974413,662.1974341,0.3081299,662.6506215,662.6506215,n,1.7428755,666.1160014,666.1160014,24,1.657,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,5,41,9,,,,,,,,5,666.1160014,671.1153561,671.1152808,0.3050479,671.5631902,671.5631902,n,0.862492,675.8620765,675.8620765,18,3.378,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,6,42,8,,,,,,,,4.2,675.8620765,680.0611244,680.061085,0.3047983,680.5050467,680.5050467,n,1.1022775,684.1570569,684.1570569,21,2.47,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,7,43,11,,,,,,,,4.2,684.1570569,688.3603851,688.3604346,0.3051883,688.8045777,688.8045777,m,0.8019198,692.0179205,692.0179205,42,2.343,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,8,44,2,,,,,,,,4.8,692.0179205,696.8197569,696.81981,0.3049077,697.2640277,697.2640277,m,0.8865556,701.0788226,701.0788226,59,2.873,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,9,45,4,,,,,,,,4.6,701.0788226,705.6820458,705.6818807,0.3053405,706.1261575,706.1261575,m,1.0708383,710.1543776,710.1543776,53,2.886,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,10,46,7,,,,,,,,4.8,710.1543776,714.9539866,714.9540713,0.3050074,715.3982108,715.3982108,n,1.5952221,718.6223787,718.6223787,33,1.574,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_1,prob20hthp_12trials.xlsx,4,48,20,80,0,,,,,0,0,0,0,3,11,47,5,,,,,,,,5,718.6223787,723.621725,723.6216431,0.3051505,724.0659914,724.0659914,n,0.8854416,727.1093407,727.1093407,25,2.08,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,0,0,1,,,,,,,,4.2,727.1093407,731.3105091,731.3104265,0.3004666,731.7550318,731.7550318,m,0.9518079,736.2814842,736.2814842,53,3.498,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,1,1,0,,,,,,,,3.9,736.2814842,740.1795747,740.1807914,0.2994365,740.6241896,740.6241896,n,0.9417372,744.9092704,744.9092704,28,3.268,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,2,2,3,,,,,,,,4.7,744.9092704,749.6109616,749.6111383,0.3047617,750.0594393,750.0594393,m,1.196069,753.9077111,753.9077111,60,2.58,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,0,3,3,2,,,,,,,,3.3,753.9077111,757.2098623,757.2098328,0.3045627,757.6534235,757.6534235,n,0.7023079,761.0169462,761.0169462,36,2.609,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,moderee,stimuli/660Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,0,4,2,,,,,,,,3.4,761.0169462,764.418451,764.4184703,0.305739,764.8668419,764.8668419,n,1.4774527,768.1592052,768.1592052,30,1.74,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,forte,stimuli/330Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,1,5,1,,,,,,,,3.3,768.1592052,771.4610871,771.4610821,0.2999358,771.9058956,771.9058956,m,1.6237333,775.7021157,775.7021157,61,2.06,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,2,6,0,,,,,,,,4.5,775.7021157,780.2050147,780.2049682,0.3053037,780.6492065,780.6492065,None,,785.3054985,785.3054985,24,2.135,783.1173331,783.1173331,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_2,prob50_50_4trials.xlsx,2,8,50,50,1,,,,,0,1,1,1,1,3,7,3,,,,,,,,4.5,785.3054985,789.8104856,789.8104259,0.301905,790.2565087,790.2565087,m,1.1451243,797.9940905,797.9940905,67,4.559,,,,sub-036,145,235,700,bloc_loop.csv,2023-07-05_10h26.51.729,PainUncertainty,2022.2.5,142.8967457
aigu,forte,stimuli/660Hz,stimuli/forte,bloc_3,prob80hthp_12trials.xlsx,2,24,80,20,0,,,,,0,0,0,0,0,0,0,7,30.5381398,33.5202558,,,,,,3.7,45.522717,49.2265194,49.22400082,0.3049491,49.6684,49.6684,n,1.0791817,54.9949774,54.9949774,16,4.158,,,,sub-036,130,200,700,bloc_loopcontinue.csv,2023-07-05_10h45.44.119,PainUncertainty,2022.2.5,144.0994863
grave,moderee,stimuli/330Hz,stimuli/moderee,bloc_3,prob80hthp_12trials.xlsx,2,24,80,20,0,,,,,0,0,0,0,0,1,1,4,,,,,,,,4.7,54.9949774,59.6973347,59.69711352,0.3048081,60.1414248,60.1414248,n,1.3691671,65.3971847,65.3971847,20,3.809,,,,sub-036,130,200,700,bloc_loopcontinue.csv,2023-07-05_10h45.44.119,PainUncertainty,2022.2.5,144.0994863
grave,forte,stimuli/330Hz,stimuli/forte,bloc_3,prob80hthp_12trials.xlsx,2,24,80,20,0,,,,,0,0,0,0,0,2,2,5,,,,,,,,3.6,65.3971847,68.9971824,68.99682062,0.3051665,69.4451779,69.4451779,m,2.2631333,74.4252353,74.4252353,47,2.636,,,,sub-036,130,200,700,bloc_loopcontinue.csv,2023-07-05_10h45.44.119,PainUncertainty,2022.2.5,144.0994863
